id,name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category,source_file,data_category,weight_kg,is_featured,launch_date,vietnam_popularity_score,payment_methods_supported,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration,title,price,stock,thumbnail,warranty,shipping,return_policy,minimum_order,source,category_id,category_name,category_image,images,creation_date,update_date
SENDO_9c88527e,BKAV Acer Predator Helios,BKAV,Electronics,laptop-linh-kien-may-tinh,537.58,12902000.0,616.29,12.8,4.9,647.0,0.0,12.0,"Sản phẩm Acer Predator Helios chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_5f202bcd,Xiaomi Asus ROG Strix,Xiaomi,Electronics,laptop-linh-kien-may-tinh,516.21,12389000.0,667.33,22.6,4.5,571.0,0.0,12.0,"Sản phẩm Asus ROG Strix chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_6ab78293,Vivo Lenovo ThinkPad X1,Vivo,Electronics,laptop-linh-kien-may-tinh,1146.25,27510000.0,1273.67,10.0,4.9,1488.0,0.0,12.0,"Sản phẩm Lenovo ThinkPad X1 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_dddfc446,Viettel Lenovo ThinkPad X1,Viettel,Electronics,laptop-linh-kien-may-tinh,493.96,11855000.0,586.62,15.8,3.7,808.0,0.0,12.0,"Sản phẩm Lenovo ThinkPad X1 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_99720b8e,Apple Asus ROG Strix,Apple,Electronics,laptop-linh-kien-may-tinh,1198.67,28768000.0,1425.33,15.9,4.6,205.0,0.0,12.0,"Sản phẩm Asus ROG Strix chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_7ddf4c1e,Asanzo HP Spectre x360,Asanzo,Electronics,laptop-linh-kien-may-tinh,316.25,7590000.0,,,3.5,211.0,0.0,12.0,"Sản phẩm HP Spectre x360 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_a3739f3e,OPPO Dell XPS 13,OPPO,Electronics,laptop-linh-kien-may-tinh,750.12,18003000.0,,,4.6,1747.0,0.0,12.0,"Sản phẩm Dell XPS 13 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_252c976b,VinSmart HP Spectre x360,VinSmart,Electronics,laptop-linh-kien-may-tinh,784.33,18824000.0,1132.25,30.7,3.8,553.0,0.0,12.0,"Sản phẩm HP Spectre x360 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_e0382ea1,FPT HP Spectre x360,FPT,Electronics,laptop-linh-kien-may-tinh,673.75,16170000.0,871.17,22.7,4.8,862.0,0.0,12.0,"Sản phẩm HP Spectre x360 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
SENDO_3ede3933,Vivo Dell XPS 13,Vivo,Electronics,laptop-linh-kien-may-tinh,898.0,21552000.0,1303.25,31.1,3.9,1464.0,0.0,12.0,"Sản phẩm Dell XPS 13 chính hãng, bảo hành 12 tháng",Online,Multiple,sendo,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Computing,electronics_computing_20251001_213710.csv,computing,,,,,,,,,,,,,,,,,,,,,,,,,
