product_id,title,brand,category,price,discount_percentage,rating,stock,description,thumbnail,warranty,shipping,availability,return_policy,minimum_order,source,extracted_at
DUMMY_SMARTPHONES_121,iPhone 5s,Apple,smartphones,199.99,12.91,2.83,25,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp,Lifetime warranty,Ships in 1 month,In Stock,60 days return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879165
DUMMY_SMARTPHONES_122,iPhone 6,Apple,smartphones,299.99,6.69,3.41,60,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp,1 month warranty,Ships overnight,In Stock,7 days return policy,5,DummyJSON_smartphones,2025-10-01T21:55:20.879174
DUMMY_SMARTPHONES_123,iPhone 13 Pro,Apple,smartphones,1099.99,9.37,4.12,56,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp,3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,1,DummyJSON_smartphones,2025-10-01T21:55:20.879177
DUMMY_SMARTPHONES_124,iPhone X,Apple,smartphones,899.99,19.59,2.51,37,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp,3 months warranty,Ships in 3-5 business days,In Stock,7 days return policy,2,DummyJSON_smartphones,2025-10-01T21:55:20.879179
DUMMY_SMARTPHONES_125,Oppo A57,Oppo,smartphones,249.99,2.43,3.94,19,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp,Lifetime warranty,Ships in 3-5 business days,In Stock,90 days return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879180
DUMMY_SMARTPHONES_126,Oppo F19 Pro Plus,Oppo,smartphones,399.99,18.64,3.51,78,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp,3 year warranty,Ships in 1 week,In Stock,90 days return policy,1,DummyJSON_smartphones,2025-10-01T21:55:20.879182
DUMMY_SMARTPHONES_127,Oppo K1,Oppo,smartphones,299.99,18.29,4.25,55,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp,1 month warranty,Ships in 1-2 business days,In Stock,30 days return policy,5,DummyJSON_smartphones,2025-10-01T21:55:20.879184
DUMMY_SMARTPHONES_128,Realme C35,Realme,smartphones,149.99,15.3,4.2,48,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp,3 year warranty,Ships overnight,In Stock,90 days return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879186
DUMMY_SMARTPHONES_129,Realme X,Realme,smartphones,299.99,6.95,3.7,12,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp,1 month warranty,Ships in 3-5 business days,In Stock,No return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879188
DUMMY_SMARTPHONES_130,Realme XT,Realme,smartphones,349.99,11.51,4.58,80,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp,3 year warranty,Ships in 1 month,In Stock,60 days return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879190
