product_id,product_name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,warranty_months,description,platform_availability,payment_methods,source_platform,availability,data_source,market_focus,language,extracted_at,crawl_timestamp,product_url,main_category
CELLPHONES_af90cf27,OPPO Huawei MatePad Pro,OPPO,Electronics,tablet,1196.21,28709000,,,4.8,759,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_b708e6ca,BKAV Huawei MatePad Pro,BKAV,Electronics,tablet,1307.96,31391000,,,4.6,345,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_2592dd22,Samsung Samsung Galaxy Tab S9,Samsung,Electronics,tablet,1279.92,30718000,1655.12,22.7,3.6,1564,0.0,12.0,"Sản phẩm Samsung Galaxy Tab S9 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_d7ff4373,Viettel Samsung Galaxy Tab S9,Viettel,Electronics,tablet,1300.08,31202000,1761.12,26.2,4.6,1778,0.0,12.0,"Sản phẩm Samsung Galaxy Tab S9 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_eedc3f26,Samsung iPad Pro M2,Samsung,Electronics,tablet,141.88,3405000,162.75,12.8,4.7,713,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_2ce76783,Xiaomi Huawei MatePad Pro,Xiaomi,Electronics,tablet,1577.62,37863000,1788.29,11.8,4.3,1721,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_189ea361,BKAV iPad Pro M2,BKAV,Electronics,tablet,1398.46,33563000,,,4.5,688,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_6376c4e0,Realme Huawei MatePad Pro,Realme,Electronics,tablet,266.58,6398000,311.21,14.3,4.1,75,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_1640f7a0,FPT Huawei MatePad Pro,FPT,Electronics,tablet,620.38,14889000,,,4.4,1972,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_8965a890,Samsung Xiaomi Pad 6 Pro,Samsung,Electronics,tablet,299.54,7189000,396.21,24.4,4.3,709,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_832f3b36,Realme Xiaomi Pad 6 Pro,Realme,Electronics,tablet,398.25,9558000,463.38,14.1,4.5,163,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_f1ae71c2,Xiaomi Lenovo Tab P12 Pro,Xiaomi,Electronics,tablet,1417.12,34011000,1611.67,12.1,4.2,1322,0.0,12.0,"Sản phẩm Lenovo Tab P12 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_53b8a141,Vivo Samsung Galaxy Tab S9,Vivo,Electronics,tablet,1576.29,37831000,2266.46,30.5,4.7,918,0.0,12.0,"Sản phẩm Samsung Galaxy Tab S9 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_38fcc335,Vivo iPad Pro M2,Vivo,Electronics,tablet,1753.17,42076000,1955.96,10.4,4.9,545,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_18848743,Asanzo Xiaomi Pad 6 Pro,Asanzo,Electronics,tablet,183.79,4411000,222.5,17.4,4.3,1887,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_94a2707c,Xiaomi iPad Pro M2,Xiaomi,Electronics,tablet,1588.67,38128000,1901.75,16.5,3.7,1438,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_2ce58a74,Realme iPad Pro M2,Realme,Electronics,tablet,622.75,14946000,697.54,10.7,4.4,1543,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_92c6117c,Xiaomi Xiaomi Pad 6 Pro,Xiaomi,Electronics,tablet,625.29,15007000,,,4.6,1510,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_a9c2ad6d,FPT Xiaomi Pad 6 Pro,FPT,Electronics,tablet,881.21,21149000,,,4.5,1029,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,False,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_e3f11fef,Viettel iPad Pro M2,Viettel,Electronics,tablet,1471.25,35310000,2199.67,33.1,5.0,475,0.0,12.0,"Sản phẩm iPad Pro M2 chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
CELLPHONES_180d33ad,Asanzo Lenovo Tab P12 Pro,Asanzo,Electronics,tablet,335.5,8052000,464.38,27.8,4.8,596,0.0,12.0,"Sản phẩm Lenovo Tab P12 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,cellphones,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
FPTSHOP_cef70896,Vivo Huawei MatePad Pro,Vivo,Electronics,tablet,1635.46,39251000,2228.58,26.6,4.0,428,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
FPTSHOP_42023c52,Apple Xiaomi Pad 6 Pro,Apple,Electronics,tablet,1101.75,26442000,,,4.3,524,0.0,12.0,"Sản phẩm Xiaomi Pad 6 Pro chính hãng, bảo hành 12 tháng",Online,Multiple,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
FPTSHOP_79b966ad,Samsung Huawei MatePad Pro,Samsung,Electronics,tablet,221.33,5312000,,,4.5,1543,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
FPTSHOP_5612a031,Realme Samsung Galaxy Tab S9,Realme,Electronics,tablet,503.71,12089000,,,4.9,1033,0.0,12.0,"Sản phẩm Samsung Galaxy Tab S9 chính hãng, bảo hành 12 tháng",Online,Multiple,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
FPTSHOP_131f8e71,Apple Huawei MatePad Pro,Apple,Electronics,tablet,736.54,17677000,,,4.5,268,0.0,12.0,"Sản phẩm Huawei MatePad Pro chính hãng, bảo hành 12 tháng",Online,Multiple,fptshop,True,Vietnamese_Crawled,Vietnam,English,2025-10-01T21:37:10.247183,,,Tablets
